Gene ID	Gene Name	Design Element	'Parkinson's disease' vs 'normal'.foldChange	'Parkinson's disease' vs 'normal'.pValue	'Parkinson's disease' vs 'normal'.tStat
ENSG00000006432	MAP3K9	213927_at	-0.4	0.330972045788503	-1.50442359345589
ENSG00000006451	RALA	214435_x_at	-0.3	0.0863228690737687	-2.78026564277664
ENSG00000006459	KDM7A	221778_at	0.2	0.384924885799678	1.34561758069922
ENSG00000006468	ETV1	221911_at	-0.4	0.300228231900545	-1.60970643268891
ENSG00000006530	AGK	222132_s_at	-0.4	0.0330217845709335	-3.65802328892496
ENSG00000006534	ALDH3B1	211004_s_at	0.2	0.304937251540988	1.59325463369288
ENSG00000006576	PHTF2	209780_at	-0.2	0.602809899484773	-0.82827918601884
ENSG00000006611	USH1C	205137_x_at	0.3	0.208480765385675	1.96923058793988
ENSG00000006625	GGCT	215380_s_at	-0.5	0.284350869148933	-1.66596257798049
ENSG00000006652	IFRD1	202146_at	0.5	0.264185334848412	1.74744738291794
ENSG00000006715	VPS41	210849_s_at	-0.3	0.410757994542518	-1.27332629405692
ENSG00000006740	ARHGAP44	205414_s_at	-0.6	0.298056493369088	-1.61599252267204
ENSG00000006744	ELAC2	201767_s_at	-0.2	0.457121747113371	-1.16286810665089
ENSG00000006756	ARSD	207784_at	0.3	0.171182305391546	2.15960882475914
ENSG00000006831	ADIPOR2	201346_at	0.6	0.0427541477900561	3.42398881167911
ENSG00000007047	MARK4	55065_at	-0.3	0.253190360198753	-1.78506258863401
ENSG00000007168	PAFAH1B1	200816_s_at	-0.6	0.171182305391546	-2.15938500501578
ENSG00000007216	SLC13A2	207567_at	0.2	0.196564143318107	2.02329681372067
ENSG00000007237	GAS7	202192_s_at	-0.1	0.770741729077071	-0.48927759303063
ENSG00000007255	TRAPPC6A	204985_s_at	0.1	0.424800471643345	1.23774185164152
ENSG00000007312	CD79B	205297_s_at	0.2	0.327635253278534	1.5147913712947
ENSG00000007372	PAX6	205646_s_at	0.8	0.0217605508430571	4.04608654215255
ENSG00000007384	RHBDF1	218686_s_at	0.4	0.0337692577327593	3.5941083138892
ENSG00000007402	CACNA2D2	204811_s_at	0.3	0.148163938285022	2.27567660740469
ENSG00000007541	PIGQ	204144_s_at	0.2	0.224233966974089	1.90448240459196
ENSG00000007944	MYLIP	220319_s_at	0.2	0.54869558592398	0.94088051900563
ENSG00000008018	PSMB1	214288_s_at	-0.1	0.75716452808286	-0.514526822431858
ENSG00000008056	SYN1	221914_at	-0.2	0.639009037487948	-0.75202080170328
ENSG00000008083	JARID2	203297_s_at	0.6	0.0298007165109568	3.78857737872187
ENSG00000008118	CAMK1G	215161_at	-0.3	0.27764950202212	-1.6888502579308
ENSG00000008130	NADK	208919_s_at	0.5	0.120954025860578	2.46607903015375
ENSG00000008277	ADAM22	213411_at	-0.7	0.162863586114629	-2.19978736397738
ENSG00000008283	CYB561	209163_at	-0.1	0.814767220114644	-0.40143909767698
ENSG00000008300	CELSR3	40020_at	0.3	0.139498178852544	2.33163997782231
ENSG00000008324	SS18L2	218283_at	-0.1	0.601411142490229	-0.831148689896625
ENSG00000008405	CRY1	209674_at	-0.1	0.774010794399528	-0.480183331960468
ENSG00000008516	MMP25	207890_s_at	0.2	0.249547241802675	1.79919794458969
ENSG00000008853	RHOBTB2	209441_at	-0.2	0.362067270424416	-1.4073050920637
ENSG00000008952	SEC62	208943_s_at	-0.4	0.268392763398467	-1.72321346797411
ENSG00000008988	RPS20	200949_x_at	-0.3	0.401211429413117	-1.30202017173639
ENSG00000009307	CSDE1	202646_s_at	0.1	0.576258139777575	0.882166093184643
ENSG00000009335	UBE3C	201817_at	-0.3	0.546718963272477	-0.947581527941966
ENSG00000009413	REV3L	208070_s_at	0.2	0.62309046770703	0.785802747507081
ENSG00000009694	TENM1	205728_at	-0.3	0.338230683069535	-1.48098017657678
ENSG00000009830	POMT2	220632_s_at	0.2	0.133255081201435	2.37273777254916
ENSG00000009950	MLXIPL	221163_s_at	0.4	0.0584093178747154	3.15018182246477
ENSG00000010017	RANBP9	202582_s_at	-0.6	0.106473671481411	-2.5928706131016
ENSG00000010030	ETV7	221680_s_at	0.2	0.262556496064035	1.75437015267852
ENSG00000010165	EEF1AKNMT	212407_at	-0.4	0.0593385415615102	-3.12209465519434
ENSG00000010244	ZNF207	200829_x_at	-0.1	0.6564193747229	-0.717280586608547
ENSG00000010256	UQCRC1	201903_at	-0.3	0.302521293615476	-1.60210890021885
ENSG00000010278	CD9	201005_at	-0.1	0.877657048219739	-0.279164857209059
ENSG00000010322	NISCH	201591_s_at	0.2	0.493513955312682	1.07499455355386
ENSG00000010327	STAB1	38487_at	0.4	0.0602418842330121	3.0987425882634
ENSG00000010361	FUZ	221187_s_at	0.2	0.264479874663331	1.74611405078045
ENSG00000010379	SLC6A13	207184_at	0.2	0.273336649991711	1.70338637277895
ENSG00000010438	PRSS3	213421_x_at	-0.5	0.187373433638013	-2.06487409420679
ENSG00000010610	CD4	203547_at	0.1	0.720805229589338	0.589823506203578
ENSG00000010626	LRRC23	206076_at	0.2	0.317766829887236	1.54959125488033
ENSG00000010671	BTK	205504_at	0.1	0.360032874135279	1.41528410453086
ENSG00000010818	HIVEP2	212642_s_at	-0.4	0.311020271648288	-1.57213279967273
ENSG00000011007	ELOA	213604_at	0.2	0.351505285420111	1.4410475317202
ENSG00000011021	CLCN6	203950_s_at	-0.1	0.797273339834691	-0.434871228051556
ENSG00000011028	MRC2	209280_at	0.4	0.0826980920239928	2.83944883243219
ENSG00000011132	APBA3	215148_s_at	0.5	0.0277689329351894	3.87403064579779
ENSG00000011201	ANOS1	205206_at	-0.4	0.337715631268974	-1.48367123371066
ENSG00000011243	AKAP8L	222160_at	-0.1	0.772951387178924	-0.482891481245005
ENSG00000011260	UTP18	203721_s_at	-0.4	0.387472027560586	-1.33774869109715
ENSG00000011295	TTC19	217964_at	-0.1	0.908776552855865	-0.210750370578337
ENSG00000011304	PTBP1	211270_x_at	0.8	0.0132443048197298	4.52122343475814
ENSG00000011332	DPF1	206531_at	0.1	0.765323531760615	0.497780424318655
ENSG00000011405	PIK3C2A	213070_at	-0.1	0.899006664836702	-0.231742914919178
ENSG00000011451	WIZ	52005_at	0.1	0.481022135018028	1.10140892543338
ENSG00000011454	RABGAP1	213313_at	0.1	0.887639423280082	0.25810794340879
ENSG00000011465	DCN	201893_x_at	0.1	0.892469841457581	0.246560832258638
ENSG00000011485	PPP5C	201979_s_at	0.1	0.642394877168232	0.743779153720812
ENSG00000011523	CEP68	212677_s_at	-0.4	0.217034304935667	-1.93264838631273
ENSG00000011566	MAP4K3	218311_at	-0.3	0.359194254573933	-1.41715565957109
ENSG00000011600	TYROBP	204122_at	0.4	0.310646384420764	1.57391122044044
ENSG00000012171	SEMA3B	203071_at	0.1	0.715456934488286	0.598729287784381
ENSG00000012223	LTF	202018_s_at	0.1	0.347460386036547	1.45537337947276
ENSG00000012817	KDM5D	206700_s_at	0.2	0.547421932425605	0.945761032482716
ENSG00000012822	CALCOCO1	209002_s_at	0.2	0.184865129676816	2.0766052674666
ENSG00000012963	UBR7	218108_at	-0.3	0.453116227268695	-1.17138161676844
ENSG00000012983	MAP4K5	203552_at	0.1	0.875679273880016	0.283028447637358
ENSG00000013016	EHD3	218935_at	-0.2	0.540139901545392	-0.96131036886465
ENSG00000013275	PSMC4	201252_at	-0.1	0.527500330107911	-0.991489682697486
ENSG00000013288	MAN2B2	214703_s_at	-0.1	0.583700507866759	-0.866626843555796
ENSG00000013364	MVP	202180_s_at	0.1	0.65077565501979	0.727428771543774
ENSG00000013392	RWDD2A	213555_at	-0.3	0.254280508133061	-1.78178268675448
ENSG00000013441	CLK1	214683_s_at	0.8	0.111927898119649	2.53627351888297
ENSG00000013503	POLR3B	219459_at	0.1	0.716134965048907	0.597623626437554
ENSG00000013561	RNF14	201824_at	-0.6	0.165441989824591	-2.18726723262503
ENSG00000013573	DDX11	208159_x_at	0.2	0.244940472474626	1.81354648329196
ENSG00000013583	HEBP1	218450_at	0.1	0.666323637027427	0.696894229822415
ENSG00000013619	MAMLD1	205088_at	0.1	0.738711567639473	0.555125043803061
ENSG00000014123	UFL1	212634_at	-0.4	0.203950135569171	-1.98876666210532
ENSG00000014164	ZC3H3	213445_at	0.1	0.39554326011759	1.3186337441804
ENSG00000014641	MDH1	200978_at	-1.3	0.0496992034734506	-3.29727335325954
ENSG00000014824	SLC30A9	202614_at	-0.6	0.126083752407956	-2.42000412220635
ENSG00000014914	MTMR11	205076_s_at	0.3	0.143311357170868	2.30392486281526
ENSG00000014919	COX15	219547_at	-0.1	0.67228198041528	-0.685559969548449
ENSG00000015171	ZMYND11	202136_at	-0.4	0.100611093138034	-2.64179321210159
ENSG00000015532	XYLT2	219401_at	0.1	0.813787650662916	0.403481164381013
ENSG00000015592	STMN4	221236_s_at	-0.3	0.450321706307791	-1.17789388941583
ENSG00000015676	NUDCD3	201270_x_at	0.1	0.718541329404451	0.593870063163563
ENSG00000016490	CLCA1	210107_at	0.2	0.268333874017927	1.7243645084538
ENSG00000017260	ATP2C1	209935_at	-0.6	0.200045633337997	-2.00810580174729
ENSG00000017797	RALBP1	202845_s_at	-0.1	0.79927283723781	-0.430455505117731
ENSG00000018189	RUFY3	213939_s_at	-0.1	0.865306513381508	-0.30558861530817
ENSG00000018236	CNTN1	211203_s_at	-0.1	0.78963762297247	-0.451463628698026
ENSG00000018625	ATP1A2	203296_s_at	0.1	0.565995724849139	0.907393728244757
ENSG00000019144	PHLDB1	212134_at	0.3	0.0797569741980314	2.87508438634216
ENSG00000019505	SYT13	221859_at	-0.2	0.280949949967525	-1.6773604542981
ENSG00000019991	HGF	209961_s_at	0.1	0.565220979604847	0.90905630908671
ENSG00000020129	NCDN	209556_at	-0.1	0.88600476033855	-0.261284349122538
ENSG00000020181	ADGRA2	221814_at	0.3	0.307450186205066	1.58488655238098
ENSG00000020577	SAMD4A	212845_at	0.3	0.328930615747409	1.51172515828651
ENSG00000021300	PLEKHB1	209504_s_at	0.7	0.140902087183754	2.3207537081515
ENSG00000021355	SERPINB1	212268_at	0.1	0.5157220583185	1.02178260657065
ENSG00000021488	SLC7A9	220135_s_at	0.3	0.0856704532968883	2.79066056859029
ENSG00000021574	SPAST	209748_at	-0.1	0.628049964537955	-0.774073461182089
ENSG00000021645	NRXN3	205795_at	-0.3	0.485963694580759	-1.09020228948568
ENSG00000021826	CPS1	204920_at	0.1	0.486307271751728	1.08947607537016
ENSG00000022267	FHL1	201540_at	-0.1	0.631678675580987	-0.766409712670597
ENSG00000022277	RTF2	217737_x_at	-0.1	0.576885021371516	-0.880222691357883
ENSG00000022355	GABRA1	206678_at	-1.4	0.0395886545456965	-3.472967649543
ENSG00000022840	RNF10	207801_s_at	-0.1	0.835607230263623	-0.361384731407325
ENSG00000023041	ZDHHC6	218249_at	-0.2	0.115353116891172	-2.50854520905461
ENSG00000023191	RNH1	206050_s_at	-0.2	0.335041705292154	-1.49210764806208
ENSG00000023228	NDUFS1	203039_s_at	-1.2	8.91743686752829E-4	-6.65864956605817
ENSG00000023287	RB1CC1	202033_s_at	-0.7	0.152000016513489	-2.25942089661379
ENSG00000023318	ERP44	208959_s_at	-0.1	0.537840006192428	-0.967675969273589
ENSG00000023330	ALAS1	205633_s_at	-0.5	0.17610478915959	-2.1247456885784
ENSG00000023516	AKAP11	203156_at	-1.3	0.0311074980232317	-3.74497031455349
ENSG00000023572	GLRX2	219933_at	-0.4	0.369575457563198	-1.38825048372388
ENSG00000023734	STRAP	200870_at	-0.5	0.0826980920239928	-2.84222828663468
ENSG00000023892	DEF6	221293_s_at	0.1	0.732989646382581	0.566584064226497
ENSG00000023902	PLEKHO1	218223_s_at	-0.1	0.856532159112977	-0.321992760623999
ENSG00000024048	UBR2	212760_at	0.1	0.729577365788065	0.572898424765867
ENSG00000024422	EHD2	221870_at	0.3	0.0912091604871582	2.73278616985287
ENSG00000024862	CCDC28A	209479_at	-0.2	0.678548432861925	-0.673392210414596
ENSG00000025156	HSF2	209657_s_at	-0.1	0.429924577485222	-1.22539491135483
ENSG00000025293	PHF20	209422_at	-0.3	0.384085159249639	-1.34773869453097
ENSG00000025423	HSD17B6	205700_at	-0.5	0.16265544113734	-2.20155624846009
ENSG00000025796	SEC63	201916_s_at	-0.4	0.266563176549391	-1.73144019223767
ENSG00000026297	RNASET2	217984_at	0.7	0.0512916774423994	3.27102515046318
ENSG00000026508	CD44	212063_at	0.6	0.193981107536124	2.03493366182297
ENSG00000026751	SLAMF7	219159_s_at	0.2	0.526240703824165	0.994532519730754
ENSG00000027075	PRKCH	218764_at	0.4	0.215865562406762	1.93793118891882
ENSG00000027697	IFNGR1	202727_s_at	0.1	0.827102237340269	0.377873255465288
ENSG00000028116	VRK2	205126_at	0.2	0.463328995807817	1.14827132462946
ENSG00000028137	TNFRSF1B	203508_at	0.2	0.29452898168749	1.62781084059519
ENSG00000028277	POU2F2	211660_at	0.3	0.105202864856755	2.60274244059953
ENSG00000028310	BRD9	220155_s_at	-0.2	0.293424704960087	-1.63131766491317
ENSG00000028528	SNX1	201716_at	0.1	0.675245369484886	0.679774940049731
ENSG00000028839	TBPL1	208398_s_at	-0.3	0.451506630342781	-1.17461185809685
ENSG00000029363	BCLAF1	201084_s_at	-0.5	0.300658777910844	-1.60796388602885
ENSG00000029534	ANK1	205391_x_at	0.1	0.816672240200119	0.397951792559769
ENSG00000029639	TFB1M	219169_s_at	0.1	0.507087975642671	1.04270622850955
ENSG00000029725	RABEP1	214552_s_at	-0.1	0.518177741197275	-1.01403698347241
ENSG00000029993	HMGB3	203744_at	-0.3	0.208913009322612	-1.96675483695586
ENSG00000030582	GRN	200678_x_at	0.3	0.0452885018848359	3.38478112354187
ENSG00000031003	FAM13B	218518_at	-0.3	0.620364552201337	-0.792265604638195
ENSG00000031698	SARS1	200802_at	-0.4	0.108789068672287	-2.56164740233669
ENSG00000032219	ARID4A	205062_x_at	-0.3	0.179234070769686	-2.105821477521
ENSG00000032389	EIPR1	217968_at	-0.3	0.204144937992752	-1.98756031771708
ENSG00000032444	PNPLA6	203718_at	0.3	0.311025912578667	1.57172562485062
ENSG00000033030	ZCCHC8	218478_s_at	0.3	0.286500265168328	1.65936944438165
ENSG00000033050	ABCF2	209246_at	0.3	0.100691130318825	2.63960702810087
ENSG00000033327	GAB2	203853_s_at	0.2	0.47451470144292	1.12162673248859
ENSG00000033627	ATP6V0A1	212383_at	-0.2	0.347758372389991	-1.45374858417318
ENSG00000033867	SLC4A7	207604_s_at	-0.1	0.633131244879333	-0.764195806943944
ENSG00000034053	APBA2	209871_s_at	-0.1	0.908927359898711	-0.209865058266952
ENSG00000034152	MAP2K3	215499_at	0.4	0.0802888004734142	2.86688495699829
ENSG00000034510	TMSB10	217733_s_at	-0.3	0.159225120050817	-2.2203006615217
ENSG00000034677	RNF19A	220483_s_at	0.1	0.507974169292866	1.03932987206537
ENSG00000034693	PEX3	203972_s_at	-0.3	0.0427541477900561	-3.42216654530246
ENSG00000034713	GABARAPL2	209046_s_at	-0.4	0.191037775546214	-2.04763209752893
ENSG00000035141	FAM136A	215947_s_at	0.1	0.80606379166232	0.416946366571279
ENSG00000035403	VCL	200931_s_at	0.3	0.128744402636789	2.40068615687547
ENSG00000035664	DAPK2	215184_at	0.4	0.0976551627188011	2.67156812447698
ENSG00000035681	NSMAF	203269_at	0.5	0.160634546315087	2.21389680523312
ENSG00000035687	ADSS2	221761_at	-0.5	0.152330139260101	-2.25688927751752
ENSG00000035862	TIMP2	203167_at	0.2	0.147347572776866	2.28155394440605
ENSG00000035928	RFC1	208021_s_at	-0.1	0.654710319252854	-0.720693562220876
ENSG00000036257	CUL3	201371_s_at	-0.4	0.330522201158555	-1.50632475942345
ENSG00000036530	CYP46A1	220331_at	-0.1	0.795195808645658	-0.438882484300651
ENSG00000036549	ZZZ3	212893_at	0.2	0.744052680916944	0.542291758034632
ENSG00000036672	USP2	207213_s_at	0.1	0.461329480255919	1.15385117342696
ENSG00000037042	TUBG2	203894_at	-0.2	0.420865874059711	-1.24737884571707
ENSG00000037637	FBXO42	221812_at	0.3	0.106473671481411	2.58980181599161
ENSG00000037965	HOXC8	221350_at	0.2	0.383181598640802	1.35066013283524
ENSG00000038002	AGA	204332_s_at	-0.1	0.732989646382581	-0.566606316216243
ENSG00000038274	MAT2B	217993_s_at	-0.7	0.0589121464043254	-3.14085044695931
ENSG00000038427	VCAN	221731_x_at	0.8	0.0337692577327593	3.59697350176995
ENSG00000038532	CLEC16A	212786_at	-0.1	0.787535817404282	-0.454934588466009
ENSG00000039123	MTREX	212896_at	-0.3	0.175724669092908	-2.12928850948138
ENSG00000039319	ZFYVE16	203651_at	0.3	0.588839229015564	0.856675884066184
ENSG00000039537	C6	210168_at	0.1	0.453996510628477	1.1691765571306
ENSG00000039560	RAI14	202052_s_at	0.4	0.0961371294063824	2.68371197785793
ENSG00000039650	PNKP	218961_s_at	-0.1	0.780305396903974	-0.467353500937192
ENSG00000039987	BEST2	207432_at	0.2	0.279919363836932	1.68192556397576
ENSG00000040199	PHLPP2	213407_at	-0.3	0.404702802624651	-1.29091800701407
ENSG00000040341	STAU2	204226_at	-0.6	0.054254480917458	-3.21941796636771
ENSG00000040731	CDH10	220115_s_at	-0.6	0.0661229999668779	-3.02971947563847
ENSG00000040933	INPP4A	204552_at	-0.5	0.300658777910844	-1.60808570148895
ENSG00000041357	PSMA4	203396_at	-0.8	0.116327490974269	-2.4971080249594
ENSG00000041515	MYO16	215119_at	-0.1	0.600507450054335	-0.832877433270295
ENSG00000041802	LSG1	221536_s_at	-0.1	0.703093150117733	-0.62176069912672
ENSG00000041982	TNC	201645_at	0.2	0.411282931510107	1.27155763581478
ENSG00000042317	SPATA7	219583_s_at	-0.3	0.271026736587927	-1.71490663469271
ENSG00000042445	RETSAT	218124_at	-0.1	0.805817389321726	-0.41876235908833
ENSG00000042493	CAPG	201850_at	0.1	0.534738960621829	0.974098133804274
ENSG00000042753	AP2S1	211047_x_at	-0.4	0.319029177963899	-1.54310906879417
ENSG00000042832	TG	203673_at	0.2	0.305525676823093	1.59159084994916
ENSG00000042980	ADAM28	208269_s_at	0.2	0.220086398114568	1.92173072376582
ENSG00000043093	DCUN1D1	218583_s_at	-0.4	0.148130547242815	-2.27702769467382
ENSG00000043462	LCP2	205270_s_at	0.1	0.735627552670062	0.562260309973167
ENSG00000043514	TRIT1	218617_at	0.1	0.545923850067502	0.949219972629602
ENSG00000044574	HSPA5	211936_at	-0.3	0.617476091237287	-0.798702815482248
ENSG00000046651	OFD1	203569_s_at	0.3	0.241805521870209	1.82642537025115
ENSG00000046653	GPM6B	209170_s_at	0.4	0.0961371294063824	2.68296533963163
ENSG00000047056	WDR37	211383_s_at	0.1	0.861154624688029	0.313196643412608
ENSG00000047188	YTHDC2	213077_at	-0.5	0.263367149135917	-1.75149983853668
ENSG00000047249	ATP6V1H	221504_s_at	-0.9	0.122979676712473	-2.44510564174113
ENSG00000047315	POLR2B	201803_at	-0.3	0.254886658786751	-1.77991521156622
ENSG00000047365	ARAP2	213618_at	-0.1	0.837585363578177	-0.357721054375876
ENSG00000047457	CP	204846_at	0.2	0.429924577485222	1.22539060575825
ENSG00000047597	XK	206698_at	-0.6	0.249547241802675	-1.79939942720845
ENSG00000047634	SCML1	218793_s_at	-0.1	0.865069574616278	-0.306139922507013
ENSG00000047644	WWC3	219520_s_at	0.2	0.221963390886298	1.91304379815941
ENSG00000047849	MAP4	212566_at	0.4	0.211047211833938	1.95572079144477
ENSG00000048052	HDAC9	205659_at	-0.4	0.0528557635806998	-3.24229943388374
ENSG00000048540	LMO3	204424_s_at	-0.1	0.828617073869936	-0.374767004752888
ENSG00000048544	MRPS10	218106_s_at	-0.5	0.0277689329351894	-3.87212219448182
ENSG00000048649	RSF1	218166_s_at	-0.1	0.491324138500518	-1.08049209125856
ENSG00000048707	VPS13D	212323_s_at	0.1	0.480327255553958	1.10314963519419
ENSG00000048740	CELF2	202157_s_at	-0.2	0.423477321335498	-1.24147772296762
ENSG00000048828	FAM120A	200774_at	-0.6	0.0892942510790602	-2.74905248083168
ENSG00000048991	R3HDM1	202754_at	-0.3	0.515932169788398	-1.02057079812447
ENSG00000049245	VAMP3	201336_at	0.3	0.312875562448194	1.56519759057984
ENSG00000049246	PER3	221045_s_at	0.5	0.264479874663331	1.74408900689715
ENSG00000049323	LTBP1	202729_s_at	0.2	0.5221186922221	1.00446320786566
ENSG00000049449	RCN1	201063_at	0.3	0.421534145733344	1.24595947448563
ENSG00000049759	NEDD4L	212448_at	0.1	0.760010254848763	0.508028753167516
ENSG00000049860	HEXB	201944_at	-0.3	0.498768621327799	-1.06080710965078
ENSG00000050165	DKK3	214247_s_at	-0.2	0.300766861144419	-1.60757612819024
ENSG00000050393	MCUR1	220094_s_at	-0.1	0.662935451920603	-0.703471938317947
ENSG00000050405	LIMA1	217892_s_at	0.1	0.427488352299021	1.23088307849626
ENSG00000050426	LETMD1	207170_s_at	-0.2	0.370832031442136	-1.38419045905067
ENSG00000050748	MAPK9	203218_at	-0.9	0.0980190022293048	-2.66890833080797
ENSG00000051108	HERPUD1	217168_s_at	-0.1	0.839232767493163	-0.354964360740343
ENSG00000051382	PIK3CB	212688_at	-0.4	0.399570258712634	-1.30870115866968
ENSG00000051523	CYBA	203028_s_at	-0.1	0.749537291641356	-0.533236355709895
ENSG00000051620	HEBP2	203430_at	-0.1	0.557187893544538	-0.924054758439991
ENSG00000052126	PLEKHA5	220952_s_at	-0.4	0.222838814276208	-1.90944962431879
ENSG00000052802	MSMO1	209146_at	-0.4	0.3941267035182	-1.32319321708368
ENSG00000053371	AKR7A2	202139_at	-0.1	0.679703328514243	-0.671029095545206
ENSG00000053372	MRTO4	220688_s_at	-0.3	0.0942851020068408	-2.69925289497868
ENSG00000053438	NNAT	204239_s_at	-0.1	0.656734999007533	-0.716066095709306
ENSG00000053747	LAMA3	203726_s_at	0.4	0.0214273072688135	4.09879774805121
ENSG00000053770	AP5M1	218139_s_at	-0.8	0.0832660967036365	-2.82945609712597
ENSG00000054118	THRAP3	217847_s_at	0.1	0.751411664684692	0.528939579716807
ENSG00000054277	OPN3	219032_x_at	-0.7	0.0860236717146425	-2.78462742306078
ENSG00000054356	PTPRN	204945_at	-0.4	0.296865019307138	-1.62141738776088
ENSG00000054598	FOXC1	213260_at	0.3	0.350445540313155	1.4457543538078
ENSG00000054611	TBC1D22A	33778_at	-0.1	0.741870894596897	-0.547977378214265
ENSG00000054793	ATP9A	212062_at	-0.5	0.285518781796513	-1.66219156045625
ENSG00000054965	FAM168A	212357_at	-0.3	0.0984032140259527	-2.66407818288439
ENSG00000054983	GALC	204417_at	-0.5	0.17757925214518	-2.11359947750846
ENSG00000055118	KCNH2	210036_s_at	0.2	0.202220176411076	1.99537187028858
